Name,Country,Position,Price,M1,M2,M3,L32,L16,QF,SF,3RD,FIN
OGUZ AYDIN,Turkey,Midfielder,5,,,,,,,,,
BRIAN RODRIGUEZ,Uruguay,Midfielder,5,,,,,,,,,
FACUNDO TORRES,Uruguay,Midfielder,5,,,,,,,,,
MANUEL UGARTE,Uruguay,Midfielder,5,,,,,,,,,
MAXIMILIANO ARAUJO,Uruguay,Midfielder,5,,,,,,,,,
NAHITAN NANDEZ,Uruguay,Midfielder,5,,,,,,,,,
RODRIGO BENTANCUR,Uruguay,Midfielder,5,,,,,,,,,
CRISTIAN ROLDAN,USA,Midfielder,5,,,,,,,,,
DIEGO LUNA,USA,Midfielder,5,,,,,,,,,
JOHNNY CARDOSO,USA,Midfielder,5,,,,,,,,,
MALIK TILLMAN,USA,Midfielder,5,,,,,,,,,
TIMOTHY WEAH,USA,Midfielder,5,,,,,,,,,
TYLER ADAMS,USA,Midfielder,5,,,,,,,,,
OSTON URUNOV,Uzbekistan,Midfielder,5,,,,,,,,,
AMIN CHIAKHA,Algeria,Forward,5,,,,,,,,,
AMINE GOUIRI,Algeria,Forward,5,,,,,,,,,
ANIS HADJ MOUSSA,Algeria,Forward,5,,,,,,,,,
BAGHDAD BOUNEDJAH,Algeria,Forward,5,,,,,,,,,
MONSEF BAKRAR,Algeria,Forward,5,,,,,,,,,
REDOUANE BERKANE,Algeria,Forward,5,,,,,,,,,
ANTE SUTO,Australia,Forward,5,,,,,,,,,
DENI JURIC,Australia,Forward,5,,,,,,,,,
MARTIN BOYLE,Australia,Forward,5,,,,,,,,,
MOHAMED TOURE,Australia,Forward,5,,,,,,,,,
SASA KALAJDZIC,Austria,Forward,5,,,,,,,,,
ERMEDIN DEMIROVIC,Bosnia-Herzegovina,Forward,5,,,,,,,,,
HARIS TABAKOVIC,Bosnia-Herzegovina,Forward,5,,,,,,,,,
JOVO LUKIC,Bosnia-Herzegovina,Forward,5,,,,,,,,,
SAMED BAZDAR,Bosnia-Herzegovina,Forward,5,,,,,,,,,
ARIBIM PEPPLE,Canada,Forward,5,,,,,,,,,
DANIEL JEBBISON,Canada,Forward,5,,,,,,,,,
JACEN RUSSELL-ROWE,Canada,Forward,5,,,,,,,,,
PROMISE DAVID,Canada,Forward,5,,,,,,,,,
TANI OLUWASEYI,Canada,Forward,5,,,,,,,,,
DAILON LIVRAMENTO,Cape Verde,Forward,5,,,,,,,,,
GILSON TAVARES,Cape Verde,Forward,5,,,,,,,,,
NUNO DA COSTA,Cape Verde,Forward,5,,,,,,,,,
ANDRES GOMEZ,Colombia,Forward,5,,,,,,,,,
CUCHO HERNANDEZ,Colombia,Forward,5,,,,,,,,,
DAYRO MORENO,Colombia,Forward,5,,,,,,,,,
ANTE BUDIMIR,Croatia,Forward,5,,,,,,,,,
IGOR MATANOVIC,Croatia,Forward,5,,,,,,,,,
PETAR MUSA,Croatia,Forward,5,,,,,,,,,
GERVANE KASTANEER,Curacao,Forward,5,,,,,,,,,
JEARL MARGARITHA,Curacao,Forward,5,,,,,,,,,
JURGEN LOCADIA,Curacao,Forward,5,,,,,,,,,
JAN KLIMENT,Czech Republic,Forward,5,,,,,,,,,
MOJMIR CHYTIL,Czech Republic,Forward,5,,,,,,,,,
TOMAS CHORY,Czech Republic,Forward,5,,,,,,,,,
FISTON MAYELE,DR Congo,Forward,5,,,,,,,,,
SIMON BANZA,DR Congo,Forward,5,,,,,,,,,
JEREMY AREVALO,Ecuador,Forward,5,,,,,,,,,
JORDY CAICEDO,Ecuador,Forward,5,,,,,,,,,
KEVIN RODRIGUEZ,Ecuador,Forward,5,,,,,,,,,
LEONARDO CAMPANA,Ecuador,Forward,5,,,,,,,,,
MOHAMED SHERIF,Egypt,Forward,5,,,,,,,,,
MOSTAFA MOHAMED,Egypt,Forward,5,,,,,,,,,
OSAMA FAISAL,Egypt,Forward,5,,,,,,,,,
SALAH MOHSEN,Egypt,Forward,5,,,,,,,,,
BRANDON THOMAS-ASANTE,Ghana,Forward,5,,,,,,,,,
DAN AGYEI,Ghana,Forward,5,,,,,,,,,
KAMALDEEN SULEMANA,Ghana,Forward,5,,,,,,,,,
PRINCE OSEI OWUSU,Ghana,Forward,5,,,,,,,,,
DUCKENS NAZON,Haiti,Forward,5,,,,,,,,,
FRANTZDY PIERROT,Haiti,Forward,5,,,,,,,,,
LENNY JOSEPH,Haiti,Forward,5,,,,,,,,,
RUBEN PROVIDENCE,Haiti,Forward,5,,,,,,,,,
WILSON ISIDOR,Haiti,Forward,5,,,,,,,,,
ALI ALIPOUR,Iran,Forward,5,,,,,,,,,
MEHDI GHAYEDI,Iran,Forward,5,,,,,,,,,
ALI AL-HAMADI,Iraq,Forward,5,,,,,,,,,
ALI YOUSIF,Iraq,Forward,5,,,,,,,,,
AMAR MUHSIN,Iraq,Forward,5,,,,,,,,,
AYMEN HUSSEIN,Iraq,Forward,5,,,,,,,,,
MOHANAD ALI,Iraq,Forward,5,,,,,,,,,
ANGE-YOAN BONNY,Ivory Coast,Forward,5,,,,,,,,,
ELYE WAHI,Ivory Coast,Forward,5,,,,,,,,,
OUMAR DIAKITE,Ivory Coast,Forward,5,,,,,,,,,
DAIZEN MAEDA,Japan,Forward,5,,,,,,,,,
KEISUKE GOTO,Japan,Forward,5,,,,,,,,,
KENTO SHIOGAI,Japan,Forward,5,,,,,,,,,
KOKI OGAWA,Japan,Forward,5,,,,,,,,,
ALI OLWAN,Jordan,Forward,5,,,,,,,,,
IBRAHIM SABRA,Jordan,Forward,5,,,,,,,,,
ODEH AL-FAKHOURI,Jordan,Forward,5,,,,,,,,,
ANGEL SEPULVEDA,Mexico,Forward,5,,,,,,,,,
ARMANDO GONZALEZ,Mexico,Forward,5,,,,,,,,,
GERMAN BERTERAME,Mexico,Forward,5,,,,,,,,,
GUILLERMO MARTINEZ,Mexico,Forward,5,,,,,,,,,
JULIAN QUINONES,Mexico,Forward,5,,,,,,,,,
AMINE ADLI,Morocco,Forward,5,,,,,,,,,
HAMZA IGAMANE,Morocco,Forward,5,,,,,,,,,
SOUFIANE RAHIMI,Morocco,Forward,5,,,,,,,,,
YOUSSEF EN-NESYRI,Morocco,Forward,5,,,,,,,,,
BEN WAINE,New Zealand,Forward,5,,,,,,,,,
JESSE RANDALL,New Zealand,Forward,5,,,,,,,,,
AUNE HEGGEBO,Norway,Forward,5,,,,,,,,,
CECILIO WATERMAN,Panama,Forward,5,,,,,,,,,
GUSTAVO HERRERA,Panama,Forward,5,,,,,,,,,
JOSE FAJARDO,Panama,Forward,5,,,,,,,,,
KADIR BARRIA,Panama,Forward,5,,,,,,,,,
KAHISER LENIS,Panama,Forward,5,,,,,,,,,
ALEX ARCE,Paraguay,Forward,5,,,,,,,,,
ANTONIO SANABRIA,Paraguay,Forward,5,,,,,,,,,
GABRIEL AVALOS,Paraguay,Forward,5,,,,,,,,,
RONALDO MARTINEZ,Paraguay,Forward,5,,,,,,,,,
AHMED AL-RAWI,Qatar,Forward,5,,,,,,,,,
ALMOEZ ALI,Qatar,Forward,5,,,,,,,,,
HASSAN AL-HAYDOS,Qatar,Forward,5,,,,,,,,,
MOHAMMED MUNTARI,Qatar,Forward,5,,,,,,,,,
MUBARAK SHANAN HAMZA,Qatar,Forward,5,,,,,,,,,
ABDULLAH AL-HAMDAN,Saudi Arabia,Forward,5,,,,,,,,,
FIRAS AL-BURAIKAN,Saudi Arabia,Forward,5,,,,,,,,,
SALEH AL-SHEHRI,Saudi Arabia,Forward,5,,,,,,,,,
GEORGE HIRST,Scotland,Forward,5,,,,,,,,,
LAWRENCE SHANKLAND,Scotland,Forward,5,,,,,,,,,
LYNDON DYKES,Scotland,Forward,5,,,,,,,,,
ROSS STEWART,Scotland,Forward,5,,,,,,,,,
ABDALLAH SIMA,Senegal,Forward,5,,,,,,,,,
BOULAYE DIA,Senegal,Forward,5,,,,,,,,,
CHERIF NDIAYE,Senegal,Forward,5,,,,,,,,,
HABIB DIALLO,Senegal,Forward,5,,,,,,,,,
IBRAHIM MBAYE,Senegal,Forward,5,,,,,,,,,
OUSMANE SOW,Senegal,Forward,5,,,,,,,,,
BONGOKUHLE HLONGWANE,South Africa,Forward,5,,,,,,,,,
EVIDENCE MAKGOPA,South Africa,Forward,5,,,,,,,,,
IQRAAM RAYNERS,South Africa,Forward,5,,,,,,,,,
LYLE FOSTER,South Africa,Forward,5,,,,,,,,,
CHO GUE-SUNG,South Korea,Forward,5,,,,,,,,,
OH HYEON-GYU,South Korea,Forward,5,,,,,,,,,
ANDI ZEQIRI,Switzerland,Forward,5,,,,,,,,,
CEDRIC ITTEN,Switzerland,Forward,5,,,,,,,,,
JOEL MONTEIRO,Switzerland,Forward,5,,,,,,,,,
NOAH OKAFOR,Switzerland,Forward,5,,,,,,,,,
ZEKI AMDOUNI,Switzerland,Forward,5,,,,,,,,,
FIRAS CHAOUAT,Tunisia,Forward,5,,,,,,,,,
HAZEM MASTOURI,Tunisia,Forward,5,,,,,,,,,
RAYAN ELLOUMI,Tunisia,Forward,5,,,,,,,,,
AHMED KUTUCU,Turkey,Forward,5,,,,,,,,,
DENIZ GUL,Turkey,Forward,5,,,,,,,,,
SEMIH KILICSOY,Turkey,Forward,5,,,,,,,,,
FEDERICO VINAS,Uruguay,Forward,5,,,,,,,,,
LUCIANO RODRIGUEZ,Uruguay,Forward,5,,,,,,,,,
RODRIGO AGUIRRE,Uruguay,Forward,5,,,,,,,,,
HAJI WRIGHT,USA,Forward,5,,,,,,,,,
JOSH SARGENT,USA,Forward,5,,,,,,,,,
ELDOR SHOMURODOV,Uzbekistan,Forward,5,,,,,,,,,
IGOR SERGEEV,Uzbekistan,Forward,5,,,,,,,,,
KHUSAYIN NORCHAEV,Uzbekistan,Forward,5,,,,,,,,,
SHERZOD TEMIROV,Uzbekistan,Forward,5,,,,,,,,,
ALEXIS GUENDOUZ,Algeria,Goalkeeper,4.5,,,,,,,,,
ANTHONY MANDREA,Algeria,Goalkeeper,4.5,,,,,,,,,
PATRICK BEACH,Australia,Goalkeeper,4.5,,,,,,,,,
PAUL IZZO,Australia,Goalkeeper,4.5,,,,,,,,,
FLORIAN WIEGELE,Austria,Goalkeeper,4.5,,,,,,,,,
MARTIN ZLOMISLIC,Bosnia-Herzegovina,Goalkeeper,4.5,,,,,,,,,
OSMAN HADZIKIC,Bosnia-Herzegovina,Goalkeeper,4.5,,,,,,,,,
OWEN GOODMAN,Canada,Goalkeeper,4.5,,,,,,,,,
CJ DOS SANTOS,Cape Verde,Goalkeeper,4.5,,,,,,,,,
MARCIO ROSA,Cape Verde,Goalkeeper,4.5,,,,,,,,,
VOZINHA,Cape Verde,Goalkeeper,4.5,,,,,,,,,
KEVIN MIER,Colombia,Goalkeeper,4.5,,,,,,,,,
DOMINIK KOTARSKI,Croatia,Goalkeeper,4.5,,,,,,,,,
IVOR PANDUR,Croatia,Goalkeeper,4.5,,,,,,,,,
ELOY ROOM,Curacao,Goalkeeper,4.5,,,,,,,,,
TREVOR DOORNBUSCH,Curacao,Goalkeeper,4.5,,,,,,,,,
TYRICK BODAK,Curacao,Goalkeeper,4.5,,,,,,,,,
JINDRICH STANEK,Czech Republic,Goalkeeper,4.5,,,,,,,,,
LUKAS HORNICEK,Czech Republic,Goalkeeper,4.5,,,,,,,,,
MARTIN JEDLICKA,Czech Republic,Goalkeeper,4.5,,,,,,,,,
LIONEL MPASI,DR Congo,Goalkeeper,4.5,,,,,,,,,
MATTHIEU EPOLO,DR Congo,Goalkeeper,4.5,,,,,,,,,
TIMOTHY FAYULU,DR Congo,Goalkeeper,4.5,,,,,,,,,
CRISTHIAN LOOR,Ecuador,Goalkeeper,4.5,,,,,,,,,
GONZALO VALLE,Ecuador,Goalkeeper,4.5,,,,,,,,,
MOISES RAMIREZ,Ecuador,Goalkeeper,4.5,,,,,,,,,
AHMED EL SHENAWY,Egypt,Goalkeeper,4.5,,,,,,,,,
MOHAMED SOBHI,Egypt,Goalkeeper,4.5,,,,,,,,,
MOSTAFA SHOBEIR,Egypt,Goalkeeper,4.5,,,,,,,,,
JOSEPH ANANG,Ghana,Goalkeeper,4.5,,,,,,,,,
ALEXANDRE PIERRE,Haiti,Goalkeeper,4.5,,,,,,,,,
JOHNY PLACIDE,Haiti,Goalkeeper,4.5,,,,,,,,,
JOSUE DUVERGER,Haiti,Goalkeeper,4.5,,,,,,,,,
ALIREZA BEIRANVAND,Iran,Goalkeeper,4.5,,,,,,,,,
HOSSEIN HOSSEINI,Iran,Goalkeeper,4.5,,,,,,,,,
MOHAMMAD KHALIFE,Iran,Goalkeeper,4.5,,,,,,,,,
PAYAM NIAZMAND,Iran,Goalkeeper,4.5,,,,,,,,,
AHMED BASIL,Iraq,Goalkeeper,4.5,,,,,,,,,
FAHAD TALIB,Iraq,Goalkeeper,4.5,,,,,,,,,
JALAL HASSAN,Iraq,Goalkeeper,4.5,,,,,,,,,
KUMEL AL-REKABE,Iraq,Goalkeeper,4.5,,,,,,,,,
ALBAN LAFONT,Ivory Coast,Goalkeeper,4.5,,,,,,,,,
MOHAMED KONE,Ivory Coast,Goalkeeper,4.5,,,,,,,,,
KEISUKE OSAKO,Japan,Goalkeeper,4.5,,,,,,,,,
TOMOKI HAYAKAWA,Japan,Goalkeeper,4.5,,,,,,,,,
ABDALLAH AL-FAKHOURI,Jordan,Goalkeeper,4.5,,,,,,,,,
AHMAD AL-JUAIDI,Jordan,Goalkeeper,4.5,,,,,,,,,
NOUR BANI ATTIAH,Jordan,Goalkeeper,4.5,,,,,,,,,
YAZEED ABULAILA,Jordan,Goalkeeper,4.5,,,,,,,,,
CARLOS ACEVEDO,Mexico,Goalkeeper,4.5,,,,,,,,,
RAUL RANGEL,Mexico,Goalkeeper,4.5,,,,,,,,,
EL MEHDI AL HARRAR,Morocco,Goalkeeper,4.5,,,,,,,,,
MUNIR MOHAMEDI,Morocco,Goalkeeper,4.5,,,,,,,,,
ALEX PAULSEN,New Zealand,Goalkeeper,4.5,,,,,,,,,
MAX CROCOMBE,New Zealand,Goalkeeper,4.5,,,,,,,,,
MICHAEL WOUD,New Zealand,Goalkeeper,4.5,,,,,,,,,
MATHIAS DYNGELAND,Norway,Goalkeeper,4.5,,,,,,,,,
VILJAR MHYRA,Norway,Goalkeeper,4.5,,,,,,,,,
CESAR SAMUDIO,Panama,Goalkeeper,4.5,,,,,,,,,
LUIS MEJIA,Panama,Goalkeeper,4.5,,,,,,,,,
ORLANDO MOSQUERA,Panama,Goalkeeper,4.5,,,,,,,,,
CARLOS CORONEL,Paraguay,Goalkeeper,4.5,,,,,,,,,
JUAN ESPINOLA,Paraguay,Goalkeeper,4.5,,,,,,,,,
ORLANDO GILL,Paraguay,Goalkeeper,4.5,,,,,,,,,
MAHMUD ABUNADA,Qatar,Goalkeeper,4.5,,,,,,,,,
MESHAAL BARSHAM,Qatar,Goalkeeper,4.5,,,,,,,,,
SALAH ZAKARIA,Qatar,Goalkeeper,4.5,,,,,,,,,
SHEHAB ELLETHY,Qatar,Goalkeeper,4.5,,,,,,,,,
ABDULRAHMAN AL-SANBI,Saudi Arabia,Goalkeeper,4.5,,,,,,,,,
MOHAMMED AL-RUBAIE,Saudi Arabia,Goalkeeper,4.5,,,,,,,,,
NAWAF AL-AQIDI,Saudi Arabia,Goalkeeper,4.5,,,,,,,,,
RAGHED AL-NAJJAR,Saudi Arabia,Goalkeeper,4.5,,,,,,,,,
LIAM KELLY,Scotland,Goalkeeper,4.5,,,,,,,,,
MORY DIAW,Senegal,Goalkeeper,4.5,,,,,,,,,
YEHVANN DIOUF,Senegal,Goalkeeper,4.5,,,,,,,,,
RICARDO GOSS,South Africa,Goalkeeper,4.5,,,,,,,,,
SIPHO CHAINE,South Africa,Goalkeeper,4.5,,,,,,,,,
JO HYEON-WOO,South Korea,Goalkeeper,4.5,,,,,,,,,
SONG BUM-KEUN,South Korea,Goalkeeper,4.5,,,,,,,,,
MARVIN KELLER,Switzerland,Goalkeeper,4.5,,,,,,,,,
PASCAL LORETZ,Switzerland,Goalkeeper,4.5,,,,,,,,,
MOUHIB CHAMAKH,Tunisia,Goalkeeper,4.5,,,,,,,,,
SABRI BEN HESSEN,Tunisia,Goalkeeper,4.5,,,,,,,,,
MUHAMMED SENGEZER,Turkey,Goalkeeper,4.5,,,,,,,,,
CHRIS BRADY,USA,Goalkeeper,4.5,,,,,,,,,
PATRICK SCHULTE,USA,Goalkeeper,4.5,,,,,,,,,
ABDUVOHID NEMATOV,Uzbekistan,Goalkeeper,4.5,,,,,,,,,
BOTIRALI ERGASHEV,Uzbekistan,Goalkeeper,4.5,,,,,,,,,
UTKIR YUSUPOV,Uzbekistan,Goalkeeper,4.5,,,,,,,,,
AHMED TOUBA,Algeria,Defender,4.5,,,,,,,,,
JAOUEN HADJAM,Algeria,Defender,4.5,,,,,,,,,
KEVIN VAN DEN KERKHOF,Algeria,Defender,4.5,,,,,,,,,
MEHDI DORVAL,Algeria,Defender,4.5,,,,,,,,,
MOHAMED AMINE TOUGAI,Algeria,Defender,4.5,,,,,,,,,
RAFIK BELGHALI,Algeria,Defender,4.5,,,,,,,,,
SAMIR CHERGUI,Algeria,Defender,4.5,,,,,,,,,
YOUCEF ATAL,Algeria,Defender,4.5,,,,,,,,,
ZINEDDINE BELAID,Algeria,Defender,4.5,,,,,,,,,
ALESSANDRO CIRCATI,Australia,Defender,4.5,,,,,,,,,
CAMERON BURGESS,Australia,Defender,4.5,,,,,,,,,
JACOB ITALIANO,Australia,Defender,4.5,,,,,,,,,
JASON GERIA,Australia,Defender,4.5,,,,,,,,,
KAI TREWIN,Australia,Defender,4.5,,,,,,,,,
KYE ROWLES,Australia,Defender,4.5,,,,,,,,,
LEWIS MILLER,Australia,Defender,4.5,,,,,,,,,
LUCAS HERRINGTON,Australia,Defender,4.5,,,,,,,,,
ALEXANDER PRASS,Austria,Defender,4.5,,,,,,,,,
DAVID AFFENGRUBER,Austria,Defender,4.5,,,,,,,,,
MARCO FRIEDL,Austria,Defender,4.5,,,,,,,,,
MICHAEL SVOBODA,Austria,Defender,4.5,,,,,,,,,
PHILIPP LIENHART,Austria,Defender,4.5,,,,,,,,,
DENNIS HADZIKADUNIC,Bosnia-Herzegovina,Defender,4.5,,,,,,,,,
NIDAL CELIK,Bosnia-Herzegovina,Defender,4.5,,,,,,,,,
NIHAD MUJAKIC,Bosnia-Herzegovina,Defender,4.5,,,,,,,,,
STJEPAN RADELJIC,Bosnia-Herzegovina,Defender,4.5,,,,,,,,,
TARIK MUHAREMOVIC,Bosnia-Herzegovina,Defender,4.5,,,,,,,,,
JAHKEELE MARSHALL-RUTTY,Canada,Defender,4.5,,,,,,,,,
JOEL WATERMAN,Canada,Defender,4.5,,,,,,,,,
LUC DE FOUGEROLLES,Canada,Defender,4.5,,,,,,,,,
MOISE BOMBITO,Canada,Defender,4.5,,,,,,,,,
NIKO SIGUR,Canada,Defender,4.5,,,,,,,,,
RALPH PRISO,Canada,Defender,4.5,,,,,,,,,
ZORHAN BASSONG,Canada,Defender,4.5,,,,,,,,,
DINEY,Cape Verde,Defender,4.5,,,,,,,,,
JOAO PAULO,Cape Verde,Defender,4.5,,,,,,,,,
KELVIN PIRES,Cape Verde,Defender,4.5,,,,,,,,,
LOGAN COSTA,Cape Verde,Defender,4.5,,,,,,,,,
ROBERTO LOPES,Cape Verde,Defender,4.5,,,,,,,,,
SIDNY LOPES CABRAL,Cape Verde,Defender,4.5,,,,,,,,,
STEVEN MOREIRA,Cape Verde,Defender,4.5,,,,,,,,,
STOPIRA,Cape Verde,Defender,4.5,,,,,,,,,
WAGNER PINA,Cape Verde,Defender,4.5,,,,,,,,,
ANDRES ROMAN,Colombia,Defender,4.5,,,,,,,,,
WILLER DITTA,Colombia,Defender,4.5,,,,,,,,,
ARMANDO OBISPO,Curacao,Defender,4.5,,,,,,,,,
DEVERON FONVILLE,Curacao,Defender,4.5,,,,,,,,,
JOSHUA BRENET,Curacao,Defender,4.5,,,,,,,,,
JURIEN GAARI,Curacao,Defender,4.5,,,,,,,,,
RIECHEDLY BAZOER,Curacao,Defender,4.5,,,,,,,,,
ROSHON VAN EIJMA,Curacao,Defender,4.5,,,,,,,,,
SHEREL FLORANUS,Curacao,Defender,4.5,,,,,,,,,
SHURANDY SAMBO,Curacao,Defender,4.5,,,,,,,,,
DAVID DOUDERA,Czech Republic,Defender,4.5,,,,,,,,,
DAVID JURASEK,Czech Republic,Defender,4.5,,,,,,,,,
DAVID ZIMA,Czech Republic,Defender,4.5,,,,,,,,,
JAROSLAV ZELENY,Czech Republic,Defender,4.5,,,,,,,,,
MARTIN VITIK,Czech Republic,Defender,4.5,,,,,,,,,
STEPAN CHALOUPEK,Czech Republic,Defender,4.5,,,,,,,,,
VACLAV JEMELKA,Czech Republic,Defender,4.5,,,,,,,,,
DYLAN BATUBINSIKA,DR Congo,Defender,4.5,,,,,,,,,
GEDEON KALULU,DR Congo,Defender,4.5,,,,,,,,,
JORIS KAYEMBE,DR Congo,Defender,4.5,,,,,,,,,
ROCKY BUSHIRI,DR Congo,Defender,4.5,,,,,,,,,
STEVE KAPUADI,DR Congo,Defender,4.5,,,,,,,,,
CRISTIAN RAMIREZ,Ecuador,Defender,4.5,,,,,,,,,
JHOANNER CHAVEZ,Ecuador,Defender,4.5,,,,,,,,,
JOEL ORDONEZ,Ecuador,Defender,4.5,,,,,,,,,
LEONARDO REALPE,Ecuador,Defender,4.5,,,,,,,,,
XAVIER ARREAGA,Ecuador,Defender,4.5,,,,,,,,,
AHMED ABOU EL FOTOUH,Egypt,Defender,4.5,,,,,,,,,
AHMED EID,Egypt,Defender,4.5,,,,,,,,,
AHMED NABIL KOKA,Egypt,Defender,4.5,,,,,,,,,
HOSSAM ABDELMAGUID,Egypt,Defender,4.5,,,,,,,,,
KHALED SOBHI,Egypt,Defender,4.5,,,,,,,,,
MOHAMED ABDELMONEM,Egypt,Defender,4.5,,,,,,,,,
MOHAMED HAMDY,Egypt,Defender,4.5,,,,,,,,,
MOHAMED ISMAIL,Egypt,Defender,4.5,,,,,,,,,
ALIDU SEIDU,Ghana,Defender,4.5,,,,,,,,,
DERRICK KOHN,Ghana,Defender,4.5,,,,,,,,,
DERRICK LUCKASSEN,Ghana,Defender,4.5,,,,,,,,,
JEROME OPOKU,Ghana,Defender,4.5,,,,,,,,,
JONAS ADJETEY,Ghana,Defender,4.5,,,,,,,,,
KOJO PEPRAH OPPONG,Ghana,Defender,4.5,,,,,,,,,
MARVIN SENAYA,Ghana,Defender,4.5,,,,,,,,,
PATRIC PFEIFFER,Ghana,Defender,4.5,,,,,,,,,
CARLENS ARCUS,Haiti,Defender,4.5,,,,,,,,,
DUKE LACROIX,Haiti,Defender,4.5,,,,,,,,,
HANNES DELCROIX,Haiti,Defender,4.5,,,,,,,,,
JEAN-KEVIN DUVERNE,Haiti,Defender,4.5,,,,,,,,,
KEETO THERMONCY,Haiti,Defender,4.5,,,,,,,,,
MARTIN EXPERIENCE,Haiti,Defender,4.5,,,,,,,,,
RICARDO ADE,Haiti,Defender,4.5,,,,,,,,,
WILGUENS PAUGAIN,Haiti,Defender,4.5,,,,,,,,,
ABOLFAZL JALALI,Iran,Defender,4.5,,,,,,,,,
ALI NEMATI,Iran,Defender,4.5,,,,,,,,,
AREF AGHASI,Iran,Defender,4.5,,,,,,,,,
ARIA YOUSEFI,Iran,Defender,4.5,,,,,,,,,
DANIAL ESMAEILIFAR,Iran,Defender,4.5,,,,,,,,,
HOSSEIN ABARGHOUEI,Iran,Defender,4.5,,,,,,,,,
HOSSEIN KANAANIZADEGAN,Iran,Defender,4.5,,,,,,,,,
MAJID HOSSEINI,Iran,Defender,4.5,,,,,,,,,
MILAD MOHAMMADI,Iran,Defender,4.5,,,,,,,,,
RAMIN REZAEIAN,Iran,Defender,4.5,,,,,,,,,
SALEH HARDANI,Iran,Defender,4.5,,,,,,,,,
SAMAN FALLAH,Iran,Defender,4.5,,,,,,,,,
SHOJAE KHALILZADEH,Iran,Defender,4.5,,,,,,,,,
AHMED MAKNZI,Iraq,Defender,4.5,,,,,,,,,
AKAM HASHIM,Iraq,Defender,4.5,,,,,,,,,
FRANS PUTROS,Iraq,Defender,4.5,,,,,,,,,
HUSSEIN ALI,Iraq,Defender,4.5,,,,,,,,,
MANAF YOUNIS,Iraq,Defender,4.5,,,,,,,,,
MERCHAS DOSKI,Iraq,Defender,4.5,,,,,,,,,
REBIN SULAKA,Iraq,Defender,4.5,,,,,,,,,
SAAD NATIQ,Iraq,Defender,4.5,,,,,,,,,
ZAID TAHSEEN,Iraq,Defender,4.5,,,,,,,,,
CLEMENT AKPA,Ivory Coast,Defender,4.5,,,,,,,,,
EMMANUEL AGBADOU,Ivory Coast,Defender,4.5,,,,,,,,,
OUSMANE DIOMANDE,Ivory Coast,Defender,4.5,,,,,,,,,
WILFRIEND SINGO,Ivory Coast,Defender,4.5,,,,,,,,,
AYUMU SEKO,Japan,Defender,4.5,,,,,,,,,
JUNNOSUKE SUZUKI,Japan,Defender,4.5,,,,,,,,,
YUTO NAGATOMO,Japan,Defender,4.5,,,,,,,,,
ABDALLAH NASIB,Jordan,Defender,4.5,,,,,,,,,
AHMAD ASSAF,Jordan,Defender,4.5,,,,,,,,,
ANAS BADAWI,Jordan,Defender,4.5,,,,,,,,,
HUSAM ABU DAHAB,Jordan,Defender,4.5,,,,,,,,,
IHSAN HADDAD,Jordan,Defender,4.5,,,,,,,,,
MOHAMMAD ABUALNADI,Jordan,Defender,4.5,,,,,,,,,
MOHAMMAD TAHA,Jordan,Defender,4.5,,,,,,,,,
SAED AL-ROSAN,Jordan,Defender,4.5,,,,,,,,,
SALIM OBAID,Jordan,Defender,4.5,,,,,,,,,
YAZAN AL-ARAB,Jordan,Defender,4.5,,,,,,,,,
YOUSEF ABU AL-JAZAR,Jordan,Defender,4.5,,,,,,,,,
EVERARDO LOPEZ,Mexico,Defender,4.5,,,,,,,,,
JESUS ALBERTO ANGULO,Mexico,Defender,4.5,,,,,,,,,
JULIAN ARAUJO,Mexico,Defender,4.5,,,,,,,,,
VICTOR GUZMAN,Mexico,Defender,4.5,,,,,,,,,
ABDELHAMID AIT BOUDLAL,Morocco,Defender,4.5,,,,,,,,,
ADAM MASINA,Morocco,Defender,4.5,,,,,,,,,
ANASS SALAH-EDDINE,Morocco,Defender,4.5,,,,,,,,,
JAWAD EL YAMIQ,Morocco,Defender,4.5,,,,,,,,,
MOHAMED CHIBI,Morocco,Defender,4.5,,,,,,,,,
OMAR EL HILALI,Morocco,Defender,4.5,,,,,,,,,
SOUFFIAN EL KAROUANI,Morocco,Defender,4.5,,,,,,,,,
YOUSSEF BELAMMARI,Morocco,Defender,4.5,,,,,,,,,
CALLAN ELLIOT,New Zealand,Defender,4.5,,,,,,,,,
FINN SURMAN,New Zealand,Defender,4.5,,,,,,,,,
FRANCIS DE VRIES,New Zealand,Defender,4.5,,,,,,,,,
LIBERATO CACACE,New Zealand,Defender,4.5,,,,,,,,,
MICHAEL BOXALL,New Zealand,Defender,4.5,,,,,,,,,
NANDO PIJNAKER,New Zealand,Defender,4.5,,,,,,,,,
TIM PAYNE,New Zealand,Defender,4.5,,,,,,,,,
TOMMY SMITH,New Zealand,Defender,4.5,,,,,,,,,
TYLER BINDON,New Zealand,Defender,4.5,,,,,,,,,
ANDREAS HANCHE-OLSEN,Norway,Defender,4.5,,,,,,,,,
EIVIND HELLAND,Norway,Defender,4.5,,,,,,,,,
HENRIK FALCHENER,Norway,Defender,4.5,,,,,,,,,
ODIN BJORTUFT,Norway,Defender,4.5,,,,,,,,,
SEBASTIAN SEBULONSEN,Norway,Defender,4.5,,,,,,,,,
SONDRE LANGAS,Norway,Defender,4.5,,,,,,,,,
